device_id,seq,payload_ts,arrival_time,duplicate_flag,gap_flag,temp,hum
103,2,1766554342,1766554342.132088
103,3,1766554342,1766554344.166459,0,0,26.65,47.8
103,3,1766554344,1766554344.166459,0,0,28.7,63.35
103,4,1766554347,1766554347.1393585
103,5,1766554346,1766554348.2669206,0,0,26.3,63.66
103,5,1766554348,1766554348.2669206,0,0,22.24,65.58
103,6,1766554352,1766554352.14875
103,7,1766554350,1766554352.3301458,0,0,26.04,66.49
103,7,1766554352,1766554352.3301458,0,0,26.32,41.75
103,8,1766554354,1766554356.392959,0,0,26.04,41.38
103,8,1766554356,1766554356.392959,0,0,23.07,44.18
103,9,1766554357,1766554357.189724
101,3,1766554367,1766554369.5254943,0,1,31.6,63.78
101,3,1766554369,1766554369.5254943,0,1,22.92,58.32
101,4,1766554372,1766554372.531701
101,5,1766554371,1766554373.7522833,0,0,27.12,46.74
101,5,1766554373,1766554373.7522833,0,0,33.0,60.06
101,6,1766554377,1766554377.5541592
101,7,1766554375,1766554378.013059,0,0,33.97,52.42
101,7,1766554377,1766554378.013059,0,0,30.62,49.12
101,9,1766554382,1766554382.5542855
101,8,1766554380,1766554382.2745194,0,0,20.9,69.59
101,8,1766554382,1766554382.2745194,0,0,27.45,66.9
101,10,1766554384,1766554386.534261,0,0,29.99,46.53
101,10,1766554386,1766554386.534261,0,0,23.48,66.73
101,11,1766554387,1766554387.6025877
101,12,1766554388,1766554388.2081099,0,0,23.56,59.51
101,12,1766554388,1766554388.2081099,0,0,23.7,43.0
101,13,1766554389,1766554390.0123196
101,14,1766554390,1766554392.4560041,0,0,29.68,40.06
101,14,1766554392,1766554392.4560041,0,0,24.09,69.45
101,15,1766554394,1766554395.0429425
101,16,1766554394,1766554396.747857,0,0,25.3,65.81
101,16,1766554396,1766554396.747857,0,0,28.29,67.44
101,17,1766554399,1766554400.0585063
101,18,1766554398,1766554400.9773302,0,0,31.01,62.68
101,18,1766554400,1766554400.9773302,0,0,25.48,41.31
101,19,1766554404,1766554405.0672643
101,20,1766554403,1766554405.2196348,0,0,23.77,46.3
101,20,1766554405,1766554405.2196348,0,0,34.29,51.48
101,21,1766554407,1766554409.4655945,0,0,25.8,61.54
101,21,1766554409,1766554409.4655945,0,0,24.27,59.02
101,22,1766554409,1766554410.0688634
101,23,1766554411,1766554413.716966,0,0,26.83,53.75
101,23,1766554413,1766554413.716966,0,0,26.15,55.05
101,24,1766554415,1766554415.1185145
101,25,1766554415,1766554417.9849548,0,0,21.42,46.04
101,25,1766554417,1766554417.9849548,0,0,29.47,51.37
101,26,1766554420,1766554417.581356
101,27,1766554417,1766554419.6720886,0,0,24.75,43.36
101,27,1766554419,1766554419.6720886,0,0,24.77,68.19
101,28,1766554422,1766554422.6002603
101,29,1766554421,1766554423.8919897,0,0,25.85,55.16
101,29,1766554423,1766554423.8919897,0,0,25.98,68.52
101,30,1766554427,1766554427.644147
101,2,1766554454,1766554454.293034
101,3,1766554454,1766554456.3014743,0,0,29.48,58.13
101,3,1766554456,1766554456.3014743,0,0,24.68,61.67
101,3,1766554454,1766554456.3536885,1,0,29.48,58.13
